ID,市区町村名,地番,価格(円/平米),利用の現状,周辺の土地の利用の現況
110,中央区,日本橋箱崎町２０番３３外,1140000,事務所兼駐車場,中高層事務所、マンション等が混在する商業地域
111,中央区,銀座５丁目１０３番１６,49100000,店舗兼事務所,高層の店舗、事務所ビルが建ち並ぶ中心商業地域
112,中央区,築地４丁目２番１,3630000,店舗兼事務所,中高層の店舗、事務所ビル等が建ち並ぶ商業地域
113,中央区,八重洲１丁目１０５番５３,21800000,店舗、事務所兼駐車場,中高層の店舗、事務所ビルが建ち並ぶ商業地域
114,中央区,銀座５丁目２０１番４外,9030000,店舗兼事務所,中高層の店舗兼事務所ビルが建ち並ぶ商業地域
115,中央区,日本橋室町４丁目３番５,2080000,事務所兼住宅,中高層の店舗、事務所ビルが建ち並ぶ商業地域
116,中央区,日本橋茅場町３丁目１６番５外,2590000,店舗兼事務所,中高層の事務所ビルが建ち並ぶ商業地域
117,中央区,築地３丁目１２０９番６外,1200000,店舗、事務所兼住宅,中高層の店舗、事務所ビルが建ち並ぶ商業地域
118,中央区,入船３丁目１５番１外,1300000,店舗、事務所兼住宅,中層事務所、店舗兼共同住宅が建ち並ぶ商業地域
119,中央区,日本橋本町３丁目７番５外,2700000,事務所兼駐車場,中高層の店舗、事務所ビルが建ち並ぶ商業地域
120,中央区,日本橋３丁目２番３外,5840000,店舗、事務所兼住宅,小規模の店舗兼事務所ビルが建ち並ぶ商業地域
121,中央区,日本橋本町４丁目９番５外,7250000,事務所、店舗兼駐車場,高層の店舗兼事務所ビルが建ち並ぶ商業地域
122,中央区,晴海２丁目１０７番,1820000,事務所兼店舗,高層の事務所ビル等が建ち並ぶ商業地域
123,中央区,銀座８丁目１０９番７,15700000,店舗,中高層の店舗、店舗兼事務所が建ち並ぶ商業地域
124,港区,赤坂６丁目１９１１番,2570000,共同住宅兼駐車場,中規模マンションが多く見られる住宅地域
125,港区,六本木５丁目３６７番１,2180000,共同住宅,マンションに大使館等も見られる閑静な住宅地域
126,港区,南青山４丁目３４２番外,2470000,共同住宅,マンションのほか一般住宅等も見られる住宅地域
